Jumlah Epoch	Jumlah Batch Size	Jumlah Neuron pada FC	Jumlah Input pada Flatten	Akurasi (%)						
5	2	2	8	23.75						
5	2	2	16	12.5						
5	2	2	32	12.5						
5	2	2	64	18.75						
5	2	2	128	25						
5	2	2	256	23.75						
5	2	2	512	12.5						
5	2	2	1024	12.5						
5	2	4	8	12.5						
5	2	4	16	33.75						
5	2	4	32	12.5						
5	2	4	64	25						
5	2	4	128	12.5						
5	2	4	256	12.5						
5	2	4	512	12.5						
5	2	4	1024	22.5						
5	2	8	8	12.5						
5	2	8	16	22.5						
5	2	8	32	43.75						
5	2	8	64	53.75						
5	2	8	128	51.25						
5	2	8	256	12.5						
5	2	8	512	12.5						
5	2	8	1024	12.5						
5	2	16	8	25						
5	2	16	16	12.5						
5	2	16	32	50						
5	2	16	64	72.5						
5	2	16	128	92.5						
5	2	16	256	12.5						
5	2	16	512	87.5						
5	2	16	1024	100						
5	2	32	8	12.5						
5	2	32	16	31.25						
5	2	32	32	81.25						
5	2	32	64	12.5						
5	2	32	128	100						
5	2	32	256	100						
5	2	32	512	98.75						
5	2	32	1024	100						
5	2	64	8	12.5						
5	2	64	16	52.5						
5	2	64	32	56.25						
5	2	64	64	12.5						
5	2	64	128	100						
5	2	64	256	12.5						
5	2	64	512	100						
5	2	64	1024	12.5						
5	4	2	8	20						
5	4	2	16	12.5						
5	4	2	32	18.75						
5	4	2	64	12.5						
5	4	2	128	25						
5	4	2	256	12.5						
5	4	2	512	12.5						
5	4	2	1024	13.75						
5	4	4	8	12.5						
5	4	4	16	22.5						
5	4	4	32	12.5						
5	4	4	64	27.5						
5	4	4	128	26.25						
5	4	4	256	12.5						
5	4	4	512	12.5						
5	4	4	1024	26.25						
5	4	8	8	12.5						
5	4	8	16	12.5						
5	4	8	32	31.25						
5	4	8	64	12.5						
5	4	8	128	22.5						
5	4	8	256	48.75						
5	4	8	512	33.75						
5	4	8	1024	12.5						
5	4	16	8	27.5						
5	4	16	16	25						
5	4	16	32	58.75						
5	4	16	64	47.5						
5	4	16	128	37.5						
5	4	16	256	60						
5	4	16	512	38.75						
5	4	16	1024	12.5						
5	4	32	8	16.25						
5	4	32	16	12.5						
5	4	32	32	23.75						
5	4	32	64	92.5						
5	4	32	128	71.25						
5	4	32	256	98.75						
5	4	32	512	12.5						
5	4	32	1024	12.5						
5	4	64	8	25						
5	4	64	16	41.25						
5	4	64	32	53.75						
5	4	64	64	93.75						
5	4	64	128	12.5						
5	4	64	256	87.5						
5	4	64	512	85						
5	4	64	1024	100						
5	8	2	8	12.5						
5	8	2	16	13.75						
5	8	2	32	12.5						
5	8	2	64	26.25						
5	8	2	128	17.5						
5	8	2	256	25						
5	8	2	512	12.5						
5	8	2	1024	25						
5	8	4	8	12.5						
5	8	4	16	13.75						
5	8	4	32	13.75						
5	8	4	64	31.25						
5	8	4	128	12.5						
5	8	4	256	37.5						
5	8	4	512	25						
5	8	4	1024	25						
5	8	8	8	12.5						
5	8	8	16	23.75						
5	8	8	32	17.5						
5	8	8	64	12.5						
5	8	8	128	40						
5	8	8	256	40						
5	8	8	512	36.25						
5	8	8	1024	12.5						
5	8	16	8	13.75						
5	8	16	16	36.25						
5	8	16	32	23.75						
5	8	16	64	55						
5	8	16	128	40						
5	8	16	256	47.5						
5	8	16	512	53.75						
5	8	16	1024	61.25						
5	8	32	8	20						
5	8	32	16	22.5						
5	8	32	32	52.5						
5	8	32	64	85						
5	8	32	128	71.25						
5	8	32	256	78.75						
5	8	32	512	58.75						
5	8	32	1024	65						
5	8	64	8	12.5						
5	8	64	16	47.5						
5	8	64	32	48.75						
5	8	64	64	92.5						
5	8	64	128	85						
5	8	64	256	97.5						
5	8	64	512	96.25						
5	8	64	1024	100						
5	16	2	8	12.5						
5	16	2	16	27.5						
5	16	2	32	12.5						
5	16	2	64	28.75						
5	16	2	128	15						
5	16	2	256	12.5						
5	16	2	512	12.5						
5	16	2	1024	12.5						
5	16	4	8	1.25						
5	16	4	16	12.5						
5	16	4	32	3.75						
5	16	4	64	12.5						
5	16	4	128	21.25						
5	16	4	256	25						
5	16	4	512	12.5						
5	16	4	1024	12.5						
5	16	8	8	23.75						
5	16	8	16	17.5						
5	16	8	32	18.75						
5	16	8	64	12.5						
5	16	8	128	12.5						
5	16	8	256	12.5						
5	16	8	512	37.5						
5	16	8	1024	23.75						
5	16	16	8	12.5						
5	16	16	16	40						
5	16	16	32	35						
5	16	16	64	12.5						
5	16	16	128	48.75						
5	16	16	256	37.5						
5	16	16	512	50						
5	16	16	1024	28.75						
5	16	32	8	20						
5	16	32	16	12.5						
5	16	32	32	52.5						
5	16	32	64	31.25						
5	16	32	128	12.5						
5	16	32	256	56.25						
5	16	32	512	33.75						
5	16	32	1024	12.5						
5	16	64	8	25						
5	16	64	16	23.75						
5	16	64	32	58.75						
5	16	64	64	31.25						
5	16	64	128	73.75						
5	16	64	256	61.25						
5	16	64	512	83.75						
5	16	64	1024	12.5						
5	32	2	8	12.5						
5	32	2	16	12.5						
5	32	2	32	12.5						
5	32	2	64	12.5						
5	32	2	128	13.75						
5	32	2	256	12.5						
5	32	2	512	12.5						
5	32	2	1024	12.5						
5	32	4	8	12.5						
5	32	4	16	16.25						
5	32	4	32	5						
5	32	4	64	23.75						
5	32	4	128	12.5						
5	32	4	256	12.5						
5	32	4	512	12.5						
5	32	4	1024	12.5						
5	32	8	8	12.5						
5	32	8	16	17.5						
5	32	8	32	12.5						
5	32	8	64	20						
5	32	8	128	33.75						
5	32	8	256	12.5						
5	32	8	512	43.75						
5	32	8	1024	12.5						
5	32	16	8	33.75						
5	32	16	16	10						
5	32	16	32	21.25						
5	32	16	64	15						
5	32	16	128	38.75						
5	32	16	256	12.5						
5	32	16	512	13.75						
5	32	16	1024	47.5						
5	32	32	8	12.5						
5	32	32	16	28.75						
5	32	32	32	15						
5	32	32	64	22.5						
5	32	32	128	43.75						
5	32	32	256	52.5						
5	32	32	512	57.5						
5	32	32	1024	18.75						
5	32	64	8	25						
5	32	64	16	12.5						
5	32	64	32	43.75						
5	32	64	64	20						
5	32	64	128	41.25						
5	32	64	256	12.5						
5	32	64	512	57.5						
5	32	64	1024	12.5						
Jumlah Epoch	Jumlah Batch Size	Jumlah Neuron pada FC	Jumlah Input pada Flatten	Akurasi (%)
10	2	2	8	12.5
10	2	2	16	17.5
10	2	2	32	25
10	2	2	64	50
10	2	2	128	12.5
10	2	2	256	26.25
10	2	2	512	12.5
10	2	2	1024	31.25
10	2	4	8	12.5
10	2	4	16	25
10	2	4	32	25
10	2	4	64	48.75
10	2	4	128	71.25
10	2	4	256	85
10	2	4	512	58.75
10	2	4	1024	12.5
10	2	8	8	25
10	2	8	16	30
10	2	8	32	67.5
10	2	8	64	100
10	2	8	128	100
10	2	8	256	100
10	2	8	512	91.25
10	2	8	1024	12.5
10	2	16	8	17.5
10	2	16	16	53.75
10	2	16	32	100
10	2	16	64	100
10	2	16	128	100
10	2	16	256	100
10	2	16	512	12.5
10	2	16	1024	100
10	2	32	8	26.25
10	2	32	16	80
10	2	32	32	100
10	2	32	64	100
10	2	32	128	100
10	2	32	256	100
10	2	32	512	100
10	2	32	1024	100
10	2	64	8	32.5
10	2	64	16	82.5
10	2	64	32	12.5
10	2	64	64	100
10	2	64	128	100
10	2	64	256	12.5
10	2	64	512	100
10	2	64	1024	100
10	4	2	8	12.5
10	4	2	16	5
10	4	2	32	38.75
10	4	2	64	23.75
10	4	2	128	37.5
10	4	2	256	25
10	4	2	512	25
10	4	2	1024	28.75
10	4	4	8	20
10	4	4	16	28.75
10	4	4	32	38.75
10	4	4	64	47.5
10	4	4	128	30
10	4	4	256	45
10	4	4	512	12.5
10	4	4	1024	26.25
10	4	8	8	13.75
10	4	8	16	35
10	4	8	32	12.5
10	4	8	64	75
10	4	8	128	61.25
10	4	8	256	12.5
10	4	8	512	71.25
10	4	8	1024	62.5
10	4	16	8	12.5
10	4	16	16	36.25
10	4	16	32	82.5
10	4	16	64	67.5
10	4	16	128	100
10	4	16	256	91.25
10	4	16	512	97.5
10	4	16	1024	100
10	4	32	8	12.5
10	4	32	16	12.5
10	4	32	32	96.25
10	4	32	64	12.5
10	4	32	128	100
10	4	32	256	100
10	4	32	512	12.5
10	4	32	1024	100
10	4	64	8	40
10	4	64	16	37.5
10	4	64	32	98.75
10	4	64	64	100
10	4	64	128	100
10	4	64	256	100
10	4	64	512	100
10	4	64	1024	100
10	8	2	8	12.5
10	8	2	16	12.5
10	8	2	32	12.5
10	8	2	64	25
10	8	2	128	12.5
10	8	2	256	12.5
10	8	2	512	12.5
10	8	2	1024	26.25
10	8	4	8	12.5
10	8	4	16	12.5
10	8	4	32	25
10	8	4	64	12.5
10	8	4	128	37.5
10	8	4	256	12.5
10	8	4	512	42.5
10	8	4	1024	21.25
10	8	8	8	12.5
10	8	8	16	12.5
10	8	8	32	48.75
10	8	8	64	52.5
10	8	8	128	12.5
10	8	8	256	70
10	8	8	512	38.75
10	8	8	1024	35
10	8	16	8	35
10	8	16	16	18.75
10	8	16	32	31.25
10	8	16	64	67.5
10	8	16	128	12.5
10	8	16	256	73.75
10	8	16	512	96.25
10	8	16	1024	37.5
10	8	32	8	25
10	8	32	16	27.5
10	8	32	32	51.25
10	8	32	64	12.5
10	8	32	128	12.5
10	8	32	256	100
10	8	32	512	68.75
10	8	32	1024	98.75
10	8	64	8	22.5
10	8	64	16	40
10	8	64	32	81.25
10	8	64	64	12.5
